,sentiment,New News
0,positive,Tesla: Big Upside
1,negative,Tesla's Gigafactory 4 Is One Of Elon Musk's Smartest Moves
2,negative,Tesla Q4 Halftime Report
3,negative,Tesla Bears Have 9 Lives
4,positive,Tesla: An Analysis Of Demand In Established Markets
5,negative,"Tesla Lost Market Share In Q3 To BMW, Mercedes, Audi And Volvo"
6,negative,Tesla: 'Operation Vacation'
7,positive,Tesla: Another Incentive Declining
8,positive,"Tesla: Priced For Hyper-Growth, Yet Not Only Are Revenues Declining But So Are Unit Sales In Mature Markets"
9,negative,Tesla And The Demise Of California Air Resource Board's ZEV Credit Market
10,negative,Tesla: It's Not All Doom And Gloom
11,negative,Tesla: The Curious Cash Position
12,neutral,Energy Storage Moves Up The Agenda For Tesla
13,negative,"Tesla's Surprise Quarter: A Case Of Accounting Adjustments, Not Operational Improvements"
14,negative,Tesla: Weak Sales Outlook Ahead
15,negative,Tesla: I Was Horribly Wrong But Quite Right At The Same Time
16,negative,Tesla: Battery Supply And Demand At China Gigafactory 3
17,positive,On Tesla And Policy Failure
18,negative,Tesla: Short Squeeze Rally Doesn't Have 'Extended Range'
19,negative,Tesla: Another Questionable Solar Roof Launch
20,positive,Tesla And Multitasking
21,positive,Tesla Solar Is Still On Life Support
22,positive,"In 10-Q, Tesla Admits China Continues To Deny Required Manufacturing License"
23,neutral,Why I Do Not Trust Tesla's Books
24,negative,Tesla: Structural Profitability Underway
25,negative,You're Not Going To Believe Tesla's Negative Growth Rates
26,negative,Numbers Don't Support The Q3 Story At Tesla
27,negative,Tesla's Surprise Profit Conceals Deteriorating Fundamentals
28,negative,Tesla Reports Surprise Q3 Profit
29,negative,Here's Why Tesla Will Be Able To 'Produce' The Model Y Earlier Than Previously Expected
30,positive,"Tesla's Model 3 Sales Fall 97% In Norway This October, From The March Peak"
31,positive,Tesla: Q3 Key Earnings Questions
32,positive,Tesla's Cash Balance To Remain Close To $5 Billion At Sept. 30
33,negative,New Fight With Taycan Shows That Tesla Is Aware Of Strong Competition And Faces Tough Times
34,negative,Tesla: Riding The Road To Profitability
35,negative,Tesla Vs. BYD: A Relative Valuation
36,positive,The Likely Impact Of EU Emission Regulations On Tesla's European Sales
37,neutral,Tesla Q3 Earnings: Model 3 Delivers Sales But Not Profit
38,positive,Tesla Battery Storage: Growth Is Limited
39,negative,Cash-Strapped Tesla Unleashes Capital Outlay For Model 3
40,positive,Tesla In Australia : Model 3 Sales Impacting ICE Sales
41,negative,Tesla: Uphill Battle In China
42,positive,Tesla Semi Can Be A Profitable Niche Player In A Strong Growth Market For Heavy Duty Trucks
43,positive,Tesla: Solar Is On The Rise
44,positive,Why Tesla's Earnings Are A Complete Mystery
45,negative,Tesla: EV Benefit Cliff Coming
46,negative,Tesla And Autonomy: The Possibility Of Fast Progress
47,positive,Tesla: Semi And Roadster Are Worth Billions
48,negative,Tesla's Share Price Chaos: 4 Reasons Why The Delivery Record Is Not Relevant For Rational Investors
49,positive,Tesla's Model Y: This Could Be The Company's Most Profitable Vehicle
50,negative,Tesla Q3 Falls Short Of 100K
51,negative,Structural Reasons For Tesla's Travails
52,neutral,Tesla's Q3 Leaked Email: No Demand Problem
53,negative,Tesla News: Truth Vs. Reality
54,negative,Tesla's Third Gigafactory: Highly Profitable
55,positive,Tesla: Model Y Potential Limitations
56,positive,Tesla's Production Efficiencies Put 25% Margins In Reach
57,positive,Tesla's Day Of VIE Reckoning Has Arrived
58,positive,Why China Could Be Tesla's Undoing
59,positive,Tesla: Expectations Are Set Too High For Q3
60,positive,"Tesla: Q3 Push For 100,000 Sales"
61,negative,Tesla Desperately Fights Its Already Lost Battle
62,negative,The Decline In High-Margin Models Is The Main Concern For Tesla
63,positive,Volkswagen ID.3 Vs. Tesla Model 3: The European Electric Car Volume Battle
64,positive,Tesla Looks Unstoppable
65,positive,Tesla's Million Mile Battery
66,negative,More Broken Promises From Tesla
67,positive,Tesla: Competition Does Matter
68,negative,Tesla Auto Sales Likely To Boom In Asia In 2020
69,negative,Tesla Insurance: A Startling Asset
70,negative,Tesla Vs. Porsche Taycan Is Like iPhone Vs. Android All Over Again
